Breanna Lynn|17|0212727963|GRAHAM|ENG, DTC, ART, BIO, PHY|False
Brett Alexander|14|0215447599|BELL|GRA, DTC, PHY, MAT, BIO|True
Bruno Oneil|14|0275557012|BELL|PHY, ART, ENG, DTC, GRA|True
Cailin Nash|13|0228048190|BAKER|ENG, MAT, BIO, ART, PHY|False
Cailin Rivas|14|0211673815|BAKER|GRA, MAT, ENG, PHY, ART|False
Cairo Nielsen|14|0215181287|GRAHAM|ART, MAT, PHY, GRA, DTC|True
Callie Carey|15|0225531209|MCNICOL|MAT, ENG, DTC, BIO, PHY|False
Camera Justice|18|0275600597|MORGAN|DTC, PHY, GRA, MAT, ART|False
Candice Calhoun|17|0220034644|NIMMO|ENG, DTC, PHY, BIO, GRA|False
Candice Pierce|17|0276092566|NIMMO|GRA, ENG, DTC, ART, BIO|False
Carson Blackburn|16|0216900384|NIMMO|PHY, GRA, BIO, ART, ENG|True
Chaim Kline|16|0222465999|MORGAN|PHY, MAT, ART, GRA, DTC|True
Charles Caldwell|17|0277645475|BAKER|MAT, ENG, PHY, GRA, DTC|True
Christian Meadows|18|0270387634|BAKER|DTC, ENG, PHY, MAT, BIO|True
Colby Gill|14|0210420407|BAKER|BIO, PHY, ENG, MAT, DTC|True
Connor Garrett|14|0217594913|BAKER|DTC, PHY, GRA, MAT, ENG|True
Curran Porter|13|0212992110|GRAHAM|ART, BIO, ENG, GRA, PHY|True
Cyrus Mcneil|16|0229625023|MCNICOL|BIO, GRA, ART, PHY, DTC|True
Cyrus Ross|13|0224461530|BARKER|MAT, DTC, ART, ENG, PHY|True
Dara Dodson|14|0227341779|MCNICOL|GRA, PHY, ART, BIO, MAT|False
Darlyn Gates|17|0221365253|BARKER|PHY, DTC, GRA, BIO, ART|False
Daryl Miller|17|0222762085|BARKER|BIO, PHY, GRA, MAT, DTC|False
Davis Mccall|17|0213613957|BAKER|GRA, DTC, ENG, ART, MAT|True
Dawn Pickett|15|0229025352|NIMMO|MAT, ENG, PHY, BIO, ART|False
Dawn Sweeney|13|0229263896|BAKER|MAT, BIO, ENG, PHY, DTC|False
Declan Lee|15|0277808582|BAKER|ENG, DTC, BIO, MAT, ART|True
Demetria Barnes|18|0276656754|BELL|ENG, BIO, GRA, ART, PHY|False
Demetria Burris|15|0211267735|BELL|MAT, PHY, GRA, ART, ENG|False
Dillon Vaughn|16|0215933151|BAKER|MAT, PHY, ENG, BIO, ART|True
Edward Mcintosh|13|0212335644|MCNICOL|PHY, MAT, BIO, ENG, GRA|True
Ella Palmer|15|0222567273|MCNICOL|PHY, GRA, MAT, DTC, BIO|False
Elvis Britt|17|0223656175|BAKER|ART, PHY, MAT, ENG, GRA|True
Emi Horton|18|0225043533|MCNICOL|MAT, BIO, DTC, PHY, ENG|False
Emmanuel Curtis|14|0223857405|NIMMO|GRA, DTC, MAT, PHY, ENG|True
Erica Guy|15|0221540270|NIMMO|PHY, DTC, MAT, BIO, ART|False
Eugenia Wilkins|18|0213272710|BELL|ART, PHY, DTC, BIO, ENG|False
Fletcher Morales|16|0224203566|MCNICOL|GRA, PHY, MAT, ART, BIO|True
Flynn Maxwell|13|0229503690|BARKER|PHY, ENG, MAT, DTC, BIO|True
Flynn Stephens|13|0272760414|BARKER|DTC, BIO, ART, PHY, ENG|True
Garrison Mccoy|18|0277389328|GRAHAM|MAT, GRA, PHY, ENG, BIO|True
Gemma Frank|14|0223238321|BELL|DTC, GRA, PHY, BIO, ART|False
Gillian Serrano|13|0277390422|GRAHAM|BIO, PHY, GRA, DTC, ENG|False
Hamilton Barrett|18|0214331820|MORGAN|MAT, PHY, ART, GRA, ENG|True
Hayes Swanson|17|0217854526|BAKER|ENG, GRA, ART, DTC, PHY|True
Hedy Holland|13|0221264677|MCNICOL|DTC, MAT, PHY, ENG, ART|False
Hilda Rowe|15|0215545919|BELL|GRA, MAT, ENG, DTC, ART|False
Holmes Anderson|14|0212685606|BAKER|PHY, ENG, GRA, ART, DTC|True
Holmes Mckee|14|0213060213|BAKER|GRA, ART, BIO, PHY, DTC|True
Howard Cooley|15|0220503538|NIMMO|PHY, DTC, GRA, ENG, MAT|True
Hyacinth Small|13|0211742480|MORGAN|DTC, GRA, BIO, ENG, PHY|False
Idona Daniel|16|0279984904|BARKER|GRA, DTC, PHY, ART, ENG|False
Imogene Meyer|13|0224093743|MORGAN|ART, DTC, PHY, BIO, ENG|False
Inez Crawford|18|0274270840|BARKER|ENG, ART, DTC, BIO, GRA|False
Ingrid Kerr|15|0227103630|NIMMO|GRA, PHY, BIO, MAT, ENG|False
Iris Stark|16|0211387272|GRAHAM|DTC, GRA, ENG, ART, MAT|False
Jameson Bridges|16|0212496602|BAKER|ENG, GRA, PHY, BIO, ART|True
Jemima Ford|17|0219088629|MORGAN|MAT, GRA, DTC, BIO, PHY|False
Jemima Fuentes|17|0226397206|GRAHAM|DTC, BIO, PHY, ART, MAT|False
Jerome Barber|14|0271819147|MCNICOL|DTC, PHY, MAT, ART, ENG|True
Jerome Schwartz|13|0219869123|BAKER|ENG, ART, MAT, GRA, BIO|True
Jin Perez|15|0270989451|BARKER|DTC, ART, PHY, MAT, BIO|True
Joan Huber|18|0277426405|MORGAN|DTC, BIO, PHY, ART, ENG|False
Jocelyn Ellison|18|0270071722|MCNICOL|DTC, ART, ENG, PHY, GRA|False
John Macdonald|14|0212038806|BELL|MAT, DTC, PHY, ART, GRA|True
John Skinner|13|0272659748|MORGAN|ENG, BIO, DTC, PHY, ART|True
Judith Herring|18|0223310939|MORGAN|ENG, MAT, BIO, PHY, DTC|False
Kalia Greer|14|0226139786|MORGAN|MAT, PHY, BIO, DTC, GRA|False
Kareem Marsh|15|0222891186|NIMMO|PHY, BIO, ART, MAT, ENG|True
Karly Webster|16|0212399477|BELL|PHY, MAT, GRA, BIO, DTC|False
Kasimir Meyer|14|0229468593|NIMMO|DTC, ART, ENG, MAT, PHY|True
Kathleen Dunlap|16|0216748250|BELL|ART, PHY, GRA, ENG, MAT|False
Kato Carlson|16|0226754733|BAKER|ENG, DTC, PHY, MAT, BIO|True
Keith Mclean|13|0217280877|MCNICOL|ART, ENG, GRA, MAT, PHY|True
Kenyon Chavez|17|0228791923|MORGAN|BIO, PHY, MAT, GRA, ENG|True
Kevin Robertson|17|0277323002|BARKER|BIO, DTC, PHY, ENG, GRA|True
Kevin Stafford|14|0225244938|BARKER|PHY, MAT, ART, BIO, ENG|True
Kiara Cohen|13|0213737668|MCNICOL|ART, PHY, ENG, BIO, MAT|False
Kiara Sharp|14|0212925390|MORGAN|PHY, ENG, DTC, BIO, MAT|False
Kibo Spears|17|0217555547|GRAHAM|GRA, ART, BIO, PHY, MAT|True
Kieran Mills|18|0272182537|MCNICOL|MAT, DTC, GRA, PHY, ENG|True
Kirby Holt|17|0223665730|MORGAN|DTC, ENG, MAT, ART, BIO|False
Kitra Burch|16|0219051697|MORGAN|BIO, MAT, DTC, PHY, GRA|False
Kristen Mcmahon|18|0222682279|MCNICOL|ART, MAT, ENG, GRA, DTC|False
Kyla Parks|15|0220119376|BARKER|GRA, ART, MAT, BIO, DTC|False
Kyra Crawford|15|0279672433|GRAHAM|MAT, ART, BIO, PHY, GRA|False
Lacey Jarvis|17|0273763360|NIMMO|MAT, ENG, BIO, DTC, PHY|False
Laith Saunders|14|0272066239|BAKER|ENG, PHY, MAT, BIO, ART|True
Laurel Ruiz|14|0218073016|BAKER|MAT, ART, PHY, DTC, ENG|False
Lenore Conley|17|0218731861|BAKER|PHY, DTC, MAT, GRA, ENG|False
Leo Cleveland|16|0216948037|MCNICOL|BIO, ENG, MAT, PHY, ART|True
Leroy Atkins|18|0279234194|BARKER|ENG, BIO, ART, GRA, PHY|True
Lyle Moon|13|0214677179|MCNICOL|DTC, MAT, ART, ENG, PHY|True
Lynn Keller|16|0218782625|BELL|DTC, GRA, MAT, PHY, BIO|False
Madeson Bates|15|0214611405|BELL|GRA, BIO, ART, PHY, DTC|False
Madonna Price|14|0229743787|BAKER|ART, DTC, PHY, GRA, BIO|False
Maggy Skinner|15|0225841091|BARKER|BIO, GRA, ENG, ART, DTC|False
Malik Ingram|17|0279501127|BELL|GRA, BIO, ENG, DTC, PHY|True
Marah Meyer|13|0272257722|MCNICOL|DTC, MAT, BIO, GRA, ENG|False
Martha Stanton|14|0211561281|MCNICOL|ART, DTC, BIO, GRA, ENG|False
McKenzie Galloway|13|0211701175|BARKER|GRA, PHY, ENG, BIO, ART|False
Melissa Butler|17|0211845937|MORGAN|DTC, ART, BIO, ENG, GRA|False
Mercedes Roth|15|0228887184|MCNICOL|MAT, DTC, ART, GRA, ENG|False
Merritt Gutierrez|16|0218720214|MORGAN|PHY, MAT, BIO, ART, DTC|True
Merritt Russo|17|0220322040|MORGAN|GRA, MAT, ENG, ART, BIO|True
Mona Gardner|15|0222449344|BELL|PHY, BIO, ENG, ART, MAT|False
Mufutau Valencia|17|0210312395|MCNICOL|BIO, DTC, ENG, GRA, MAT|True
Nathan Wood|15|0223682898|BELL|DTC, ART, MAT, BIO, GRA|True
Nero Carver|17|0228598601|BAKER|GRA, BIO, ART, PHY, ENG|True
Nero Gentry|18|0210766560|BARKER|DTC, MAT, ENG, GRA, ART|True
Nero Schneider|16|0223356822|GRAHAM|GRA, ART, BIO, DTC, PHY|True
Nolan Bonner|18|0218522397|BARKER|ENG, PHY, DTC, GRA, BIO|True
Nolan Calhoun|14|0272456263|MCNICOL|DTC, ENG, PHY, ART, MAT|True
Octavius Howe|17|0221914664|BAKER|GRA, DTC, ART, MAT, PHY|True
Odysseus Conner|17|0219538828|NIMMO|DTC, ENG, ART, BIO, GRA|True
Oliver Sykes|15|0274390245|MORGAN|ART, PHY, BIO, GRA, ENG|True
Pandora Walker|18|0278582236|MORGAN|BIO, MAT, DTC, ART, ENG|False
Perry Butler|16|0229059715|NIMMO|PHY, MAT, BIO, GRA, DTC|True
Porter Pierce|18|0222259982|BAKER|PHY, BIO, DTC, ART, GRA|True
Porter Richardson|14|0220903390|BARKER|GRA, BIO, PHY, MAT, DTC|True
Quail Coffey|16|0211746945|MCNICOL|PHY, MAT, BIO, ENG, DTC|False
Quamar Sears|17|0271316046|MORGAN|ENG, DTC, MAT, ART, GRA|True
Rae Rosales|16|0218320790|BELL|ART, MAT, DTC, PHY, BIO|False
Ralph Bean|18|0218800806|NIMMO|ART, ENG, MAT, DTC, GRA|True
Rana Hays|16|0219754889|NIMMO|MAT, ART, ENG, GRA, PHY|False
Randall Morgan|17|0214727897|NIMMO|ART, GRA, MAT, DTC, ENG|True
Raphael Dejesus|15|0279297770|GRAHAM|DTC, ART, BIO, PHY, MAT|True
Ray William|15|0229976521|MORGAN|BIO, ENG, DTC, ART, MAT|True
Reagan Norman|15|0271458275|NIMMO|ENG, PHY, MAT, BIO, GRA|False
Renee Jordan|18|0274813242|GRAHAM|DTC, PHY, ART, GRA, BIO|False
Ria Mcclain|14|0210644511|MORGAN|ART, MAT, BIO, GRA, ENG|False
Riley Morse|14|0271293791|MCNICOL|MAT, ENG, GRA, BIO, PHY|False
Rinah Lang|18|0276105961|NIMMO|BIO, ENG, PHY, GRA, MAT|False
Roanna Pratt|18|0279111750|BARKER|ENG, DTC, PHY, ART, MAT|False
Rooney Johns|17|0279265552|BAKER|ENG, GRA, BIO, DTC, MAT|True
Rosalyn Hammond|17|0217311562|NIMMO|BIO, GRA, ART, ENG, MAT|False
Ruth Harrell|17|0211206422|BARKER|DTC, GRA, ART, BIO, ENG|False
Sade Roberson|14|0274837904|MCNICOL|ENG, MAT, GRA, DTC, BIO|False
Scarlett Walker|13|0274274084|BAKER|PHY, BIO, DTC, ENG, ART|False
September Head|13|0223238155|BARKER|BIO, MAT, PHY, DTC, GRA|False
Serina Boone|15|0225613607|BELL|ENG, GRA, MAT, ART, DTC|False
Shafira Cote|14|0223255279|MCNICOL|ART, BIO, DTC, GRA, MAT|False
Shafira Foster|15|0222550335|BELL|GRA, ART, ENG, DTC, BIO|False
Shay Buck|16|0227668033|GRAHAM|BIO, PHY, MAT, DTC, GRA|False
Shoshana Cardenas|18|0221941067|MCNICOL|DTC, BIO, MAT, PHY, ART|False
Simon Barlow|18|0228443831|GRAHAM|PHY, ENG, BIO, DTC, MAT|True
Simone Oneill|13|0225239319|MORGAN|PHY, DTC, ENG, BIO, MAT|False
Stacy Dickerson|18|0275325468|MORGAN|MAT, GRA, DTC, ENG, ART|False
Stuart Hutchinson|13|0279437981|BARKER|DTC, PHY, MAT, ENG, GRA|True
Talon Moses|18|0211892259|NIMMO|GRA, DTC, MAT, BIO, PHY|True
Tamara Suarez|18|0274724136|GRAHAM|ART, MAT, ENG, GRA, PHY|False
Tara Watkins|14|0222837239|MCNICOL|ENG, DTC, MAT, GRA, PHY|False
Tarik Morrow|16|0278696101|BELL|ENG, DTC, GRA, PHY, ART|True
Tasha Holt|13|0275525299|BELL|BIO, ART, GRA, ENG, MAT|False
TaShya Whitney|17|0223225650|BELL|GRA, BIO, ART, MAT, DTC|False
Teagan Riley|18|0211688634|BARKER|BIO, PHY, ART, GRA, ENG|False
Thor Mclean|14|0212579428|BARKER|ENG, GRA, DTC, ART, PHY|True
Tiger Marshall|16|0274897667|GRAHAM|GRA, PHY, ART, MAT, ENG|True
Troy Santana|18|0223924137|BAKER|BIO, PHY, ENG, ART, GRA|True
Tucker Small|17|0273593652|NIMMO|MAT, ART, PHY, BIO, ENG|True
Tyrone George|16|0272426820|GRAHAM|BIO, DTC, PHY, GRA, ART|True
Ulysses Barrera|18|0279539536|BELL|DTC, ART, PHY, BIO, ENG|True
Uriel Pennington|16|0276517298|BARKER|ART, ENG, DTC, GRA, PHY|True
Veda Tyson|15|0229520670|BARKER|ART, GRA, BIO, PHY, DTC|False
Wade Savage|17|0273119533|MORGAN|ART, ENG, BIO, MAT, PHY|True
Whilemina Harmon|15|0274850589|MORGAN|PHY, MAT, BIO, ART, GRA|False
Willow Pacheco|15|0225108970|BELL|BIO, ART, ENG, MAT, PHY|False
Xenos Compton|16|0270197644|MCNICOL|MAT, ENG, ART, BIO, DTC|True
Yetta Brennan|14|0219203310|BELL|ENG, ART, PHY, GRA, MAT|False
Yoshi Castaneda|18|0227752617|BAKER|ART, ENG, PHY, GRA, MAT|False
Yoshio Martin|17|0213422393|BELL|BIO, DTC, GRA, PHY, MAT|True
Yvette Ball|17|0272484923|BELL|DTC, GRA, BIO, MAT, PHY|False
Zane Morton|15|0213009727|BARKER|ENG, MAT, DTC, BIO, PHY|True
Zeus Dunlap|18|0275983953|NIMMO|PHY, DTC, GRA, ENG, BIO|True
